,Sample,Scan,Scan date,Days passed,Size,MeanBrightness,MeanBrightness_masked,Threshold_Otsu,ROI,Days passed,Grayvalue,RingartefactCorrection,BeamHardeningCorrection,DefectPixelMasking,Rot
0,Mouse01_Nativ_20220905,rec,2022-09-05 12:05:31,0,"(1941, 1944, 1944)",5.615250265294564,23.95819350609202,11,"(2622, 678, 445, 2389)",0,0.1,1.0,,,-36.28
1,Mouse01_Lugol_15pct_20220914,rec,2022-09-14 11:48:21,9,"(1941, 1944, 1944)",5.830664595032537,24.562054859954184,12,"(2642, 698, 500, 2444)",9,0.1,1.0,,,250.0
2,Mouse01_Lugol_15pct_20220921,rec,2022-09-21 11:45:53,16,"(1941, 1944, 1944)",5.760995891957551,29.185430505192137,12,"(2517, 573, 640, 2584)",16,0.1,1.0,,,51.92
3,Mouse01_Lugol_15pct_20220928,rec,2022-09-28 12:46:39,23,"(1941, 1944, 1944)",6.688759429778187,33.32543206199253,14,"(2368, 424, 715, 2659)",23,0.1,1.0,,,-61.89
4,Mouse01_Lugol_15pct_20221017,rec,2022-10-17 13:08:30,42,"(1941, 1944, 1944)",7.864168673024148,42.54447020432171,15,"(2369, 425, 652, 2596)",42,0.1,1.0,,,86.86
5,Mouse01_Lugol_15pct_20221027,rec,2022-10-27 14:58:04,52,"(1941, 1944, 1944)",9.418161844716693,46.93593988205581,17,"(2420, 476, 530, 2474)",52,0.1,1.0,,,143.7
6,Mouse01_Lugol_15pct_20221107,rec,2022-11-07 14:10:21,63,"(1941, 1944, 1944)",8.877557168948764,47.035188273572494,17,"(2414, 470, 656, 2600)",63,0.1,1.0,,,12.11
7,Mouse01_Lugol_15pct_20221117,rec,2022-11-17 11:34:45,73,"(1941, 1944, 1944)",23.4919186974016,63.49294861288737,32,"(2395, 451, 564, 2508)",73,0.1,1.0,,,99.44
8,Mouse01_Lugol_15pct_20221128,rec,2022-11-28 12:20:20,84,"(1941, 1944, 1944)",9.551166249741557,53.46214668791459,19,"(2424, 480, 645, 2589)",84,0.1,1.0,,,-76.98
9,Mouse01_Lugol_15pct_20221209,rec,2022-12-09 11:03:12,95,"(1941, 1944, 1944)",10.411270095164506,56.74965457142423,21,"(2017, 73, 275, 2219)",95,0.1,1.0,,,16.15
10,Mouse01_Lugol_15pct_20221223,rec,2022-12-23 13:45:40,109,"(1941, 1944, 1944)",10.542047938988908,57.531261222423495,21,"(2334, 390, 595, 2539)",109,0.1,1.0,,,-55.24
11,Mouse01_Lugol_15pct_20230104,rec,2023-01-04 11:59:18,121,"(1941, 1944, 1944)",10.604197267584002,57.83818811534082,22,"(2272, 328, 525, 2469)",121,0.1,1.0,,,-29.28
12,Mouse01_Lugol_15pct_20230113,rec,2023-01-13 11:47:15,130,"(1941, 1944, 1944)",11.84925128851283,60.09279077900854,22,"(2529, 585, 526, 2470)",130,0.1,1.0,,,266.66
13,Mouse01_Lugol_15pct_20230125,rec,2023-01-25 11:23:16,142,"(1941, 1944, 1944)",11.641555881113206,59.718323751135216,23,"(2385, 441, 622, 2566)",142,0.1,1.0,,,93.18
14,Mouse01_Lugol_15pct_20230203,rec,2023-02-03 11:26:01,151,"(1941, 1944, 1944)",11.396473953497951,63.70346420899075,25,"(2368, 424, 589, 2533)",151,0.1,1.0,,,30.56
15,Mouse01_Lugol_15pct_20230214,rec,2023-02-14 11:57:24,162,"(1941, 1944, 1944)",11.602389521667659,62.06621478506911,24,"(2326, 382, 418, 2362)",162,0.1,1.0,,,80.76
16,Mouse01_Lugol_15pct_20230227,rec,2023-02-27 15:01:38,175,"(1941, 1944, 1944)",12.473421891551327,64.96267368282692,26,"(2485, 541, 588, 2532)",175,0.1,1.0,,,69.68
17,Mouse01_Lugol_15pct_20230317,rec,2023-03-17 11:20:03,193,"(1941, 1944, 1944)",12.208729703600453,61.90303601713607,24,"(2537, 593, 590, 2534)",193,0.1,1.0,,,190.58
18,Mouse01_Lugol_15pct_20230330,rec,2023-03-30 11:28:02,206,"(1941, 1944, 1944)",12.05775051478937,63.32503460565478,25,"(2490, 546, 627, 2571)",206,0.1,1.0,,,239.45
19,Mouse01_Lugol_15pct_20230411,rec,2023-04-11 12:25:39,218,"(1941, 1944, 1944)",13.195085119821504,66.83658356224718,27,"(2403, 459, 507, 2451)",218,0.1,1.0,,,140.76
20,Mouse01_Lugol_15pct_20230421,rec,2023-04-21 11:53:00,228,"(1941, 1944, 1944)",12.703851660373463,68.06572835310706,27,"(2630, 686, 365, 2309)",228,0.1,1.0,,,-69.61
21,Mouse01_Lugol_15pct_20230501,rec,2023-05-01 14:07:43,238,"(1941, 1944, 1944)",12.665507029767165,67.92818288417062,28,"(2520, 576, 620, 2564)",238,0.1,1.0,,,0.0
22,Mouse01_Lugol_15pct_20230510,rec_09um,2023-05-10 13:10:00,247,"(2995, 3072, 3072)",9.587390861872109,47.2006244704696,19,False,247,0.151022,,,,54.23
