,LogFile,Sample,Scanner,Software,Voxelsize,Voxelsize_rounded,Source,Camera,Voltage,Current,Filter,Stacks,NumberOfProjections,CameraSize,RotationStep,Wide,ThreeSixtyScan,RingRemoval,Beamhardening,GrayValueMax,Exposure,Averaging,Duration,Version,Scan date,Time passed,Days passed
38,/home/habi/research-storage-uct/Archiv_Tape/Aaldijk Beckenboden/Foetus02/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",85.0,120.0,Al 1mm,0,2205,"(3072, 1944)",0.1,False,False,0,0,0.055,850,False,6678.0,"('NRecon', '2.1.0.1')",2021-10-25 18:46:14,0 days 00:00:00,0 days
27,/home/habi/research-storage-uct/Archiv_Tape/Aaldijk Beckenboden/Foetus02_Lugol_05pct_007d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,0,2205,"(3072, 1944)",0.1,False,False,0,0,0.055,950,False,6643.0,"('NRecon', '2.1.0.1')",2021-11-08 16:12:19,13 days 21:26:05,14 days
17,/home/habi/research-storage-uct/Archiv_Tape/Aaldijk Beckenboden/Foetus02_Lugol_10pct_014d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,0,2205,"(3072, 1944)",0.1,False,False,0,0,0.055,1450,False,9394.0,"('NRecon', '2.1.0.1')",2021-11-15 17:32:52,20 days 22:46:38,21 days
22,/home/habi/research-storage-uct/Archiv_Tape/Aaldijk Beckenboden/Foetus02_Lugol_10pct_025d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,0,1471,"(3072, 1944)",0.15,False,False,0,0,0.055,1482,False,6319.0,"('NRecon', '2.1.0.1')",2021-11-26 12:25:21,31 days 17:39:07,32 days
82,/home/habi/research-storage-uct/Archiv_Tape/Aaldijk Beckenboden/Foetus02_Lugol_15pct_044d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,0,1471,"(3072, 1944)",0.15,False,False,0,0,0.055,873,False,4651.0,"('NRecon', '2.1.0.1')",2021-12-15 17:27:57,50 days 22:41:43,51 days
53,/home/habi/research-storage-uct/Archiv_Tape/Aaldijk Beckenboden/Foetus02_Lugol_15pct_053d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,0,1471,"(3072, 1944)",0.15,False,False,0,0,0.055,873,False,4675.0,"('NRecon', '2.1.0.1')",2021-12-24 11:00:51,59 days 16:14:37,60 days
1,/home/habi/research-storage-uct/Archiv_Tape/Aaldijk Beckenboden/Foetus02_Lugol_15pct_060d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,0,1471,"(3072, 1944)",0.15,False,False,0,0,0.055,873,False,4641.0,"('NRecon', '2.1.0.1')",2021-12-31 10:56:23,66 days 16:10:09,67 days
51,/home/habi/research-storage-uct/Archiv_Tape/Aaldijk Beckenboden/Foetus02_Lugol_15pct_070d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,0,1471,"(3072, 1944)",0.15,False,False,0,0,0.055,900,False,4736.0,"('NRecon', '2.1.0.1')",2022-01-10 11:27:14,76 days 16:41:00,77 days
40,/home/habi/research-storage-uct/Archiv_Tape/Aaldijk Beckenboden/Foetus02_Lugol_15pct_077d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,0,1471,"(3072, 1944)",0.15,False,False,0,0,0.055,900,False,4756.0,"('NRecon', '2.1.0.1')",2022-01-17 11:23:53,83 days 16:37:39,84 days
3,/home/habi/research-storage-uct/Archiv_Tape/Aaldijk Beckenboden/Foetus02_Lugol_15pct_088d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,0,1471,"(3072, 1944)",0.15,False,False,0,0,0.055,900,False,4740.0,"('NRecon', '2.1.0.1')",2022-01-28 10:50:39,94 days 16:04:25,95 days
